StudentID,Attendance,HomeworkRate,MidtermScore,Participation,PreviousGPA,FinalScore
1,0.55,0.54,96,0.64,1.58,88.3
2,0.55,0.4,68,0.75,3.63,95.75
3,0.55,0.5,79,0.7,3.7,102.6
4,0.72,0.43,62,0.46,3.41,90.95
5,0.79,0.89,81,0.63,2.85,108.4
6,0.54,0.97,79,0.88,1.69,96.75
7,0.72,0.43,64,0.63,2.47,84.9
8,0.59,0.96,89,0.76,3.73,120.1
9,0.91,0.91,68,0.6,2.71,104.25
10,0.83,1.0,74,0.43,2.43,101.95
11,0.85,0.52,78,0.48,2.79,96.3
12,0.84,1.0,78,0.78,2.18,106.5
13,0.9,0.99,95,0.74,2.65,118.35
14,0.93,0.78,95,0.68,3.11,117.4
15,0.72,0.72,55,0.75,3.76,103.25
16,0.76,0.63,63,0.34,3.14,92.65
17,0.65,0.84,81,0.76,2.71,104.9
18,0.81,0.82,79,0.61,1.6,93.45
19,0.73,0.86,99,0.76,3.94,126.5
20,0.79,0.71,64,0.36,2.26,87.15
21,0.9,0.42,65,0.4,1.52,75.7
22,0.51,0.74,61,0.67,2.55,88.65
23,0.85,0.99,79,0.95,3.63,123.9
24,0.93,0.42,57,0.88,1.55,80.6
25,0.59,0.68,64,0.75,2.12,86.85
26,0.97,0.64,68,0.62,3.5,106.9
27,0.99,0.59,78,0.83,1.89,97.1
28,0.63,0.58,98,0.52,1.93,93.4
29,0.62,0.9,65,0.66,2.87,99.5
30,0.7,0.79,57,0.97,3.61,107.2
31,0.84,0.62,62,0.61,1.77,83.95
32,0.84,0.58,58,0.67,2.24,86.95
33,0.63,0.84,79,0.98,3.13,111.2
34,0.94,0.46,87,0.34,3.0,100.2
35,0.89,0.61,51,0.8,3.46,100.05
36,0.52,0.88,57,0.46,2.22,84.3
37,0.69,0.52,83,0.94,3.14,105.5
38,0.94,0.46,96,0.62,2.01,98.1
39,0.83,0.73,50,0.92,1.9,87.65
40,0.82,0.86,82,0.72,2.47,106.2
41,0.87,0.7,84,0.58,2.73,104.5
42,0.81,0.73,90,0.71,2.02,101.3
43,0.83,0.85,70,0.59,1.72,91.9
44,0.82,0.94,77,0.49,2.36,101.65
45,0.6,0.6,60,0.33,2.57,81.65
46,0.84,0.88,55,0.59,2.32,92.85
47,0.59,0.81,94,0.43,3.42,110.3
48,0.92,0.89,64,0.75,2.42,101.7
49,0.81,0.67,67,0.4,3.85,104.25
50,0.58,0.77,80,0.94,3.99,116.85
51,0.53,0.43,97,0.9,2.92,102.85
52,0.66,0.91,57,0.36,3.27,96.85
53,0.55,0.91,67,0.61,3.48,104.5
54,0.85,0.55,66,0.33,3.77,99.8
55,0.81,0.49,93,0.76,3.69,113.95
56,0.68,0.85,87,0.97,1.75,101.7
57,0.99,0.56,77,0.35,2.61,95.95
58,0.7,0.55,67,0.33,2.99,89.4
59,0.69,0.7,89,0.79,2.2,100.75
60,0.95,0.63,62,0.33,2.48,89.3
61,0.93,0.47,65,0.54,2.52,89.65
62,0.62,0.46,63,0.64,2.13,80.0
63,0.58,0.75,59,0.39,2.87,88.5
64,0.79,0.47,80,0.8,3.34,104.95
65,0.68,0.94,61,0.56,3.37,103.6
66,0.83,0.86,82,0.3,3.95,114.9
67,0.59,1.0,95,0.62,2.35,107.6
68,1.0,0.59,56,0.61,3.05,96.8
69,0.62,0.66,89,0.72,3.7,112.3
70,0.93,0.69,85,0.31,2.62,100.7
71,0.65,0.74,76,0.84,2.47,99.2
72,0.55,0.94,54,0.68,3.67,103.0
73,0.64,0.43,70,0.68,3.32,94.95
74,0.78,0.46,95,0.56,1.55,89.0
75,0.91,0.49,67,0.47,2.02,84.5
76,0.81,0.85,54,0.65,2.08,89.6
77,0.52,0.91,57,0.3,2.27,83.15
78,0.97,0.92,62,0.79,2.99,108.95
79,0.65,0.88,98,0.47,2.74,108.65
80,0.63,0.99,56,0.75,1.8,89.0
81,0.95,0.94,65,0.63,2.47,102.65
82,0.93,0.94,78,0.41,3.95,118.95
83,1.0,0.64,68,0.41,2.67,96.05
84,0.66,0.64,56,0.58,3.0,90.3
85,0.76,0.74,80,0.97,1.75,97.75
86,0.76,0.65,69,0.92,2.61,98.95
87,0.95,0.9,91,0.35,3.83,121.45
88,0.88,0.41,96,0.57,1.6,90.8
89,0.84,0.93,50,0.49,3.54,102.8
90,0.95,0.68,87,0.31,3.98,115.25
91,0.82,0.99,65,0.75,3.36,112.0
92,0.86,0.43,84,0.66,1.73,88.75
93,0.84,0.91,79,0.96,2.15,107.05
94,0.82,0.74,61,0.73,3.51,105.35
95,0.85,0.53,56,0.46,3.45,94.05
96,0.82,0.77,95,0.91,2.07,108.0
97,0.8,0.74,93,0.32,3.17,108.2
98,0.87,0.74,74,0.81,1.76,95.25
99,0.87,0.68,93,0.32,1.64,92.8
100,0.91,0.45,55,0.79,2.97,93.0
